"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","WILEY","0007-9235","1542-4863","ONCOLOGY","SCIE","71,799","232.4","Q1","120.89","100"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","52,833","101.8","Q1","13.97","6.48"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","NATURE PORTFOLIO","1759-4774","1759-4782","ONCOLOGY","SCIE","33,355","83.2","Q1","12.02","1.49"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","NATURE PORTFOLIO","1474-175X","1474-1768","ONCOLOGY","SCIE","60,054","66.8","Q1","9.04","1.36"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","ELSEVIER","0923-7534","1569-8041","ONCOLOGY","SCIE","64,093","65.4","Q1","8.36","33.87"%,
"LANCET NEUROLOGY","LANCET NEUROL","ELSEVIER SCIENCE INC","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","52,666","45.5","Q1","12.25","11.06"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","ONCOLOGY","SCIE","56,241","44.5","Q1","8.07","31.56"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","LIPPINCOTT WILLIAMS & WILKINS","0732-183X","1527-7755","ONCOLOGY","SCIE","169,483","43.4","Q1","6.77","24.89"%,
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","NATURE PORTFOLIO","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","100,474","41.7","Q1","8.62","38.7"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","ONCOLOGY","SCIE","27,071","40.4","Q1","5.05","100"%,
"LANCET ONCOLOGY","LANCET ONCOL","ELSEVIER SCIENCE INC","1470-2045","1474-5488","ONCOLOGY","SCIE","74,077","35.9","Q1","8.62","14.58"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","ONCOLOGY","SCIE","42,332","33.9","Q1","5.04","100"%,
"Cancer Discovery","CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2159-8274","2159-8290","ONCOLOGY","SCIE","36,517","33.3","Q1","6","38.46"%,
"Nature Reviews Neurology","NAT REV NEUROL","NATURE PORTFOLIO","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","22,117","33.1","Q1","5.73","0.72"%,
"Nature Cancer","NAT CANCER","NATURE PORTFOLIO","N/A","2662-1347","ONCOLOGY","SCIE","10,654","28.5","Q1","5.34","33.53"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","NATURE PORTFOLIO","1471-003X","1471-0048","NEUROSCIENCES","SCIE","47,681","26.7","Q1","4.08","0.74"%,
"Cancer Communications","CANCER COMMUN","WILEY","N/A","2523-3548","ONCOLOGY","SCIE","6,881","24.9","Q1","3.66","100"%,
"JAMA Neurology","JAMA NEUROL","AMER MEDICAL ASSOC","2168-6149","2168-6157","CLINICAL NEUROLOGY","SCIE","23,516","21.4","Q1","6.16","24"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","ONCOLOGY","SCIE","27,302","20.8","Q1","4.24","22.07"%,
"JAMA Oncology","JAMA ONCOL","AMER MEDICAL ASSOC","2374-2437","2374-2445","ONCOLOGY","SCIE","29,807","20.1","Q1","4.52","23.08"%,
"NATURE NEUROSCIENCE","NAT NEUROSCI","NATURE PORTFOLIO","1097-6256","1546-1726","NEUROSCIENCES","SCIE","71,254","20","Q1","5.64","39.34"%,
"Nature Aging","NATURE AGING","SPRINGERNATURE","N/A","2662-8465","NEUROSCIENCES","SCIE","6,408","19.5","Q1","4.23","40.13"%,
"Molecular Neurodegeneration","MOL NEURODEGENER","BMC","N/A","1750-1326","NEUROSCIENCES","SCIE","11,362","17.5","Q1","3.29","100"%,
"Trends in Cancer","TRENDS CANCER","CELL PRESS","2405-8033","2405-8025","ONCOLOGY","SCIE","9,356","17.5","Q1","2.15","17.59"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","CELL PRESS","1364-6613","1879-307X","NEUROSCIENCES","SCIE","34,805","17.2","Q1","2.03","21.18"%,
"CANCER RESEARCH","CANCER RES","AMER ASSOC CANCER RESEARCH","0008-5472","1538-7445","ONCOLOGY","SCIE","118,866","16.6","Q1","2.31","25.93"%,
"Journal of the National Comprehensive Cancer Network","J NATL COMPR CANC NE","HARBORSIDE PRESS","1540-1405","1540-1413","ONCOLOGY","SCIE","14,793","16.4","Q1","2.91","0.46"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","NEUROSCIENCES","SCIE","17,247","15.9","Q1","5.33","26.93"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-579X","1096-3650","ONCOLOGY","SCIE","20,368","15.7","Q1","3.45","23.81"%,
"Neuron","NEURON","CELL PRESS","0896-6273","1097-4199","NEUROSCIENCES","SCIE","99,128","15.3","Q1","3.76","23.72"%,
"Translational Neurodegeneration","TRANSL NEURODEGENER","BMC","2047-9158","2047-9158","NEUROSCIENCES","SCIE","4,641","15.2","Q1","2.39","100"%,
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","CELL PRESS","0166-2236","1878-108X","NEUROSCIENCES","SCIE","21,797","15.1","Q1","2.21","18.66"%,
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","CELL PRESS","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","19,617","14.9","Q1","1.68","16.73"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","CAMBRIDGE UNIV PRESS","0140-525X","1469-1825","NEUROSCIENCES","SCIE","11,874","13.7","Q1","3.33","2.27"%,
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","BMC","N/A","2162-3619","ONCOLOGY","SCIE","3,391","13.5","Q1","1.95","100"%,
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","OXFORD UNIV PRESS INC","1522-8517","1523-5866","CLINICAL NEUROLOGY","SCIE","24,799","13.4","Q1","3.45","26.27"%,
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","OXFORD UNIV PRESS INC","1522-8517","1523-5866","ONCOLOGY","SCIE","24,799","13.4","Q1","3.45","26.27"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","ELSEVIER","2666-0873","2666-0873","ONCOLOGY","SCIE","2,793","13.4","Q1","2.63","100"%,
"LEUKEMIA","LEUKEMIA","SPRINGERNATURE","0887-6924","1476-5551","ONCOLOGY","SCIE","30,656","13.4","Q1","2.17","57.79"%,
"Annual Review of Neuroscience","ANNU REV NEUROSCI","ANNUAL REVIEWS","0147-006X","1545-4126","NEUROSCIENCES","SCIE","13,295","13.2","Q1","1.91","60"%,
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","BMC","N/A","1756-9966","ONCOLOGY","SCIE","28,514","12.8","Q1","2.44","100"%,
"JOURNAL OF NANOBIOTECHNOLOGY","J NANOBIOTECHNOL","BMC","N/A","1477-3155","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","28,115","12.6","Q1","1.8","100"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","PERGAMON-ELSEVIER SCIENCE LTD","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","27,341","12.5","Q1","1.51","21.23"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","29,767","12","Q1","2.89","27.6"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","CLINICAL NEUROLOGY","SCIE","62,642","11.7","Q1","3.4","40.55"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","NEUROSCIENCES","SCIE","62,642","11.7","Q1","3.4","40.55"%,
"Blood Cancer Journal","BLOOD CANCER J","SPRINGERNATURE","2044-5385","2044-5385","ONCOLOGY","SCIE","8,357","11.6","Q1","2.36","100"%,
"Biomarker Research","BIOMARK RES","BMC","N/A","2050-7771","ONCOLOGY","SCIE","4,951","11.5","Q1","1.67","100"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","WILEY","1552-5260","1552-5279","CLINICAL NEUROLOGY","SCIE","35,014","11.1","Q1","3.35","69.77"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","ONCOLOGY","SCIE","31,330","10.6","Q1","2.15","99.56"%,
"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","REV ENVIRON SCI BIO","SPRINGER","1569-1705","1572-9826","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","5,884","10.6","Q1","1.03","27.68"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","77,385","10.5","Q1","2.25","9.03"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","WILEY","1467-7644","1467-7652","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","20,155","10.5","Q1","2.25","99.51"%,
